file;;row;;col;;error;;analyzer
internal/buffer/buffer.go;;706;;23;;string `Error parsing syntax file ` has 7 occurrences, make it a constant;;(goconst)
internal/buffer/buffer.go;;368;;10;;string `dos` has 3 occurrences, make it a constant;;(goconst)
internal/buffer/buffer.go;;366;;10;;string `unix` has 3 occurrences, make it a constant;;(goconst)
internal/action/actions.go;;1559;;21;;string `Save changes to ` has 3 occurrences, make it a constant;;(goconst)
internal/action/bindings.go;;42;;23;;string `Error reading bindings.json file: ` has 3 occurrences, make it a constant;;(goconst)
internal/views/splits.go;;59;;14;;captLocal: `Kind' should not be capitalized;;(gocritic)
internal/views/splits.go;;325;;3;;dupBranchBody: both branches in if statement have same body;;(gocritic)
internal/config/plugin_installer.go;;421;;3;;ifElseChain: rewrite if-else to switch statement;;(gocritic)
internal/config/rtfiles.go;;211;;24;;sloppyLen: len(p.Srcs) <= 0 can be len(p.Srcs) == 0;;(gocritic)
internal/config/rtfiles.go;;242;;25;;sloppyLen: len(p.Srcs) <= 0 can be len(p.Srcs) == 0;;(gocritic)
internal/config/settings.go;;404;;2;;ifElseChain: rewrite if-else to switch statement;;(gocritic)
internal/clipboard/clipboard.go;;43;;2;;singleCaseSwitch: should rewrite switch statement to if statement;;(gocritic)
internal/buffer/backup.go;;133;;5;;ifElseChain: rewrite if-else to switch statement;;(gocritic)
internal/buffer/buffer.go;;1086;;21;;appendAssign: append result not assigned to the same slice;;(gocritic)
internal/shell/terminal.go;;73;;5;;sloppyLen: len(execCmd) <= 0 can be len(execCmd) == 0;;(gocritic)
internal/action/command.go;;180;;5;;argOrder: "-+" and string([]byte{args[0][0]}) arguments order looks reversed;;(gocritic)
internal/action/command.go;;162;;5;;sloppyLen: len(args) <= 0 can be len(args) == 0;;(gocritic)
internal/action/command.go;;704;;5;;sloppyLen: len(args) <= 0 can be len(args) == 0;;(gocritic)
internal/action/command.go;;167;;5;;sloppyLen: len(args[0]) <= 0 can be len(args[0]) == 0;;(gocritic)
internal/action/infocomplete.go;;186;;7;;argOrder: "doas" and input arguments order looks reversed;;(gocritic)
internal/action/infocomplete.go;;179;;7;;argOrder: "dos" and input arguments order looks reversed;;(gocritic)
internal/action/infocomplete.go;;190;;7;;argOrder: "external" and input arguments order looks reversed;;(gocritic)
internal/action/infocomplete.go;;168;;13;;argOrder: "false" and input arguments order looks reversed;;(gocritic)
internal/action/infocomplete.go;;193;;7;;argOrder: "internal" and input arguments order looks reversed;;(gocritic)
internal/action/infocomplete.go;;166;;6;;argOrder: "off" and input arguments order looks reversed;;(gocritic)
internal/action/infocomplete.go;;161;;6;;argOrder: "on" and input arguments order looks reversed;;(gocritic)
internal/action/infocomplete.go;;183;;7;;argOrder: "sudo" and input arguments order looks reversed;;(gocritic)
internal/action/infocomplete.go;;196;;7;;argOrder: "terminal" and input arguments order looks reversed;;(gocritic)
internal/action/infocomplete.go;;163;;13;;argOrder: "true" and input arguments order looks reversed;;(gocritic)
internal/action/infocomplete.go;;176;;7;;argOrder: "unix" and input arguments order looks reversed;;(gocritic)
